species,series,subplot,scale,response,value,naturalisation_level,introduction_time,category
Erophila verna,UAS16,SE,0.01,p/a,1,NA,NA,native
Erophila verna,UAS16,SE,0.1,p/a,1,NA,NA,native
Erophila verna,UAS16,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS16,SE,10,cover,3,NA,NA,native
Erophila verna,UAS16,x,100,cover,1.75,NA,NA,native
Erophila verna,UAS17,SE,1e-4,p/a,1,NA,NA,native
Erophila verna,UAS17,SE,0.001,p/a,1,NA,NA,native
Erophila verna,UAS17,SE,0.01,p/a,1,NA,NA,native
Erophila verna,UAS17,SE,0.1,p/a,1,NA,NA,native
Erophila verna,UAS17,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS17,SE,10,cover,0.1,NA,NA,native
Erophila verna,UAS17,x,100,cover,0.05,NA,NA,native
Erophila verna,UAS18,SW,10,cover,0.01,NA,NA,native
Erophila verna,UAS18,x,100,cover,0.005,NA,NA,native
Erophila verna,UAS19,NW,10,cover,0.1,NA,NA,native
Erophila verna,UAS19,x,100,cover,0.05,NA,NA,native
Erophila verna,UAS21,NW,10,cover,0.005,NA,NA,native
Erophila verna,UAS21,SE,0.01,p/a,1,NA,NA,native
Erophila verna,UAS21,SE,0.1,p/a,1,NA,NA,native
Erophila verna,UAS21,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS21,SE,10,cover,0.001,NA,NA,native
Erophila verna,UAS21,x,100,cover,0.003,NA,NA,native
Erophila verna,UAS28,NW,0.01,p/a,1,NA,NA,native
Erophila verna,UAS28,NW,0.1,p/a,1,NA,NA,native
Erophila verna,UAS28,NW,1,p/a,1,NA,NA,native
Erophila verna,UAS28,NW,10,cover,0.1,NA,NA,native
Erophila verna,UAS28,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS28,SE,10,cover,0.01,NA,NA,native
Erophila verna,UAS28,x,100,cover,0.055,NA,NA,native
Erophila verna,UAS30,NW,0.1,p/a,1,NA,NA,native
Erophila verna,UAS30,NW,1,p/a,1,NA,NA,native
Erophila verna,UAS30,NW,10,cover,0.01,NA,NA,native
Erophila verna,UAS30,SE,0.001,p/a,1,NA,NA,native
Erophila verna,UAS30,SE,0.01,p/a,1,NA,NA,native
Erophila verna,UAS30,SE,0.1,p/a,1,NA,NA,native
Erophila verna,UAS30,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS30,SE,10,cover,1,NA,NA,native
Erophila verna,UAS30,x,100,cover,0.505,NA,NA,native
Erophila verna,UAS33,SE,1e-4,p/a,1,NA,NA,native
Erophila verna,UAS33,SE,0.001,p/a,1,NA,NA,native
Erophila verna,UAS33,SE,0.01,p/a,1,NA,NA,native
Erophila verna,UAS33,SE,0.1,p/a,1,NA,NA,native
Erophila verna,UAS33,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS33,SE,10,cover,2,NA,NA,native
Erophila verna,UAS33,x,100,cover,1,NA,NA,native
Erophila verna,UAS35,NW,10,cover,0.01,NA,NA,native
Erophila verna,UAS35,x,100,cover,0.005,NA,NA,native
Erophila verna,UAS40,NW,0.1,p/a,1,NA,NA,native
Erophila verna,UAS40,NW,1,p/a,1,NA,NA,native
Erophila verna,UAS40,NW,10,cover,0.001,NA,NA,native
Erophila verna,UAS40,x,100,cover,5e-4,NA,NA,native
Erophila verna,UAS43,NW,10,cover,0.01,NA,NA,native
Erophila verna,UAS43,x,100,cover,0.005,NA,NA,native
Erophila verna,UAS45,SE,10,cover,0.1,NA,NA,native
Erophila verna,UAS45,x,100,cover,0.05,NA,NA,native
Erophila verna,UAS46,NW,0.1,p/a,1,NA,NA,native
Erophila verna,UAS46,NW,1,p/a,1,NA,NA,native
Erophila verna,UAS46,NW,10,cover,0.01,NA,NA,native
Erophila verna,UAS46,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS46,SE,10,cover,0.01,NA,NA,native
Erophila verna,UAS46,x,100,cover,0.01,NA,NA,native
Erophila verna,UAS49,NW,10,cover,0.01,NA,NA,native
Erophila verna,UAS49,SE,1,p/a,1,NA,NA,native
Erophila verna,UAS49,SE,10,cover,0.003,NA,NA,native
Erophila verna,UAS49,x,100,cover,0.0065,NA,NA,native
Echinops ritro,UAS26,SE,0.1,p/a,1,NA,NA,native
Echinops ritro,UAS26,SE,1,p/a,1,NA,NA,native
Echinops ritro,UAS26,SE,10,cover,2,NA,NA,native
Echinops ritro,UAS26,x,100,cover,1,NA,NA,native
Echinops ritro,UAS35,NW,10,cover,0.5,NA,NA,native
Echinops ritro,UAS35,x,100,cover,0.25,NA,NA,native
Echinops ritro,UAS43,NW,10,cover,0.5,NA,NA,native
Echinops ritro,UAS43,SE,10,cover,0.2,NA,NA,native
Echinops ritro,UAS43,x,100,cover,0.35,NA,NA,native
Echinops ritro,UAS44,SE,10,cover,0.1,NA,NA,native
Echinops ritro,UAS44,x,100,cover,0.05,NA,NA,native
Echinops ritro,UAS45,NW,10,cover,0.5,NA,NA,native
Echinops ritro,UAS45,x,100,cover,0.25,NA,NA,native
Echinops ritro,UAS48,NW,1,p/a,1,NA,NA,native
Echinops ritro,UAS48,NW,10,cover,0.5,NA,NA,native
Echinops ritro,UAS48,x,100,cover,0.25,NA,NA,native
Echium italicum,UAS51,NW,10,cover,0.3,NA,NA,native
Echium italicum,UAS51,x,100,cover,0.15,NA,NA,native
Silene viscosa,UAS04,NW,1,p/a,1,NA,NA,native
Silene viscosa,UAS04,NW,10,cover,0.001,NA,NA,native
Silene viscosa,UAS04,x,100,cover,5e-4,NA,NA,native
Silene viscosa,UAS09,SE,0.1,p/a,1,NA,NA,native
Silene viscosa,UAS09,SE,1,p/a,1,NA,NA,native
Silene viscosa,UAS09,SE,10,cover,0.1,NA,NA,native
Silene viscosa,UAS09,x,100,cover,0.05,NA,NA,native
Silene viscosa,UAS19,NW,10,cover,0.1,NA,NA,native
Silene viscosa,UAS19,x,100,cover,0.05,NA,NA,native
Silene viscosa,UAS31,SE,0.1,p/a,1,NA,NA,native
Silene viscosa,UAS31,SE,1,p/a,1,NA,NA,native
Silene viscosa,UAS31,SE,10,cover,0.001,NA,NA,native
Silene viscosa,UAS31,x,100,cover,5e-4,NA,NA,native
Silene viscosa,UAS55,x,100,cover,0.01,NA,NA,native
Elymus farctus,UAS37,NW,0.1,p/a,1,NA,NA,native
Elymus farctus,UAS37,NW,1,p/a,1,NA,NA,native
Elymus farctus,UAS37,NW,10,cover,10,NA,NA,native
Elymus farctus,UAS37,SE,1,p/a,1,NA,NA,native
Elymus farctus,UAS37,SE,10,cover,7,NA,NA,native
Elymus farctus,UAS37,x,100,cover,8.5,NA,NA,native
Elymus elongatus,UAS23,x,100,cover,0.1,NA,NA,native
Elymus elongatus,UAS34,NW,1,p/a,1,NA,NA,native
Elymus elongatus,UAS34,NW,10,cover,10,NA,NA,native
Elymus elongatus,UAS34,SE,0.1,p/a,1,NA,NA,native
Elymus elongatus,UAS34,SE,1,p/a,1,NA,NA,native
Elymus elongatus,UAS34,SE,10,cover,15,NA,NA,native
Elymus elongatus,UAS34,x,100,cover,12.5,NA,NA,native
Elymus elongatus,UAS36,SE,1,p/a,1,NA,NA,native
Elymus elongatus,UAS36,SE,10,cover,0.1,NA,NA,native
Elymus elongatus,UAS36,x,100,cover,0.05,NA,NA,native
Elymus elongatus,UAS38,NW,1e-4,p/a,1,NA,NA,native
Elymus elongatus,UAS38,NW,0.001,p/a,1,NA,NA,native
Elymus elongatus,UAS38,NW,0.01,p/a,1,NA,NA,native
Elymus elongatus,UAS38,NW,0.1,p/a,1,NA,NA,native
Elymus elongatus,UAS38,NW,1,p/a,1,NA,NA,native
Elymus elongatus,UAS38,NW,10,cover,55,NA,NA,native
Elymus elongatus,UAS38,SE,1e-4,p/a,1,NA,NA,native
Elymus elongatus,UAS38,SE,0.001,p/a,1,NA,NA,native
Elymus elongatus,UAS38,SE,0.01,p/a,1,NA,NA,native
Elymus elongatus,UAS38,SE,0.1,p/a,1,NA,NA,native
Elymus elongatus,UAS38,SE,1,p/a,1,NA,NA,native
Elymus elongatus,UAS38,SE,10,cover,60,NA,NA,native
Elymus elongatus,UAS38,x,100,cover,57.5,NA,NA,native
Elymus elongatus,UAS41,x,100,cover,0.1,NA,NA,native
Elymus hispidus,UAS02,NW,1,p/a,1,NA,NA,native
Elymus hispidus,UAS02,NW,10,cover,0.5,NA,NA,native
Elymus hispidus,UAS02,x,100,cover,0.25,NA,NA,native
Elymus hispidus,UAS06,SE,10,cover,0.3,NA,NA,native
Elymus hispidus,UAS06,x,100,cover,0.15,NA,NA,native
Elymus hispidus,UAS11,NE,1,p/a,1,NA,NA,native
Elymus hispidus,UAS11,NE,10,cover,0.2,NA,NA,native
Elymus hispidus,UAS11,SW,0.01,p/a,1,NA,NA,native
Elymus hispidus,UAS11,SW,0.1,p/a,1,NA,NA,native
Elymus hispidus,UAS11,SW,1,p/a,1,NA,NA,native
Elymus hispidus,UAS11,SW,10,cover,0.5,NA,NA,native
Elymus hispidus,UAS11,x,100,cover,0.35,NA,NA,native
Elymus hispidus,UAS12,NW,1,p/a,1,NA,NA,native
Elymus hispidus,UAS12,NW,10,cover,0.3,NA,NA,native
Elymus hispidus,UAS12,SE,1,p/a,1,NA,NA,native
Elymus hispidus,UAS12,SE,10,cover,0.02,NA,NA,native
Elymus hispidus,UAS12,x,100,cover,0.16,NA,NA,native
Elymus hispidus,UAS13,NW,1,p/a,1,NA,NA,native
Elymus hispidus,UAS13,NW,10,cover,1,NA,NA,native
Elymus hispidus,UAS13,x,100,cover,0.5,NA,NA,native
Elymus hispidus,UAS15,N,10,cover,0.001,NA,NA,native
Elymus hispidus,UAS15,x,100,cover,5e-4,NA,NA,native
Elymus hispidus,UAS18,SW,10,cover,0.5,NA,NA,native
Elymus hispidus,UAS18,x,100,cover,0.25,NA,NA,native
Elymus hispidus,UAS21,x,100,cover,0.01,NA,NA,native
Elymus repens,UAS17,NW,1,p/a,1,NA,NA,native
Elymus repens,UAS17,NW,10,cover,0.5,NA,NA,native
Elymus repens,UAS17,x,100,cover,0.25,NA,NA,native
Elymus repens,UAS20,SE,1,p/a,1,NA,NA,native
Elymus repens,UAS20,SE,10,cover,1,NA,NA,native
Elymus repens,UAS20,x,100,cover,0.5,NA,NA,native
Elymus repens,UAS22,NW,0.1,p/a,1,NA,NA,native
Elymus repens,UAS22,NW,1,p/a,1,NA,NA,native
Elymus repens,UAS22,NW,10,cover,0.05,NA,NA,native
Elymus repens,UAS22,x,100,cover,0.025,NA,NA,native
Elymus repens,UAS30,NW,10,cover,0.5,NA,NA,native
Elymus repens,UAS30,SE,10,cover,0.001,NA,NA,native
Elymus repens,UAS30,x,100,cover,0.2505,NA,NA,native
Elymus repens,UAS44,NW,0.1,p/a,1,NA,NA,native
Elymus repens,UAS44,NW,1,p/a,1,NA,NA,native
Elymus repens,UAS44,NW,10,cover,0.5,NA,NA,native
Elymus repens,UAS44,SE,0.1,p/a,1,NA,NA,native
Elymus repens,UAS44,SE,1,p/a,1,NA,NA,native
Elymus repens,UAS44,SE,10,cover,0.5,NA,NA,native
Elymus repens,UAS44,x,100,cover,0.5,NA,NA,native
Elymus repens,UAS01,NW,0.1,p/a,1,NA,NA,native
Elymus repens,UAS01,NW,1,p/a,1,NA,NA,native
Elymus repens,UAS01,NW,10,cover,3,NA,NA,native
Elymus repens,UAS01,SE,0.01,p/a,1,NA,NA,native
Elymus repens,UAS01,SE,0.1,p/a,1,NA,NA,native
Elymus repens,UAS01,SE,1,p/a,1,NA,NA,native
Elymus repens,UAS01,SE,10,cover,0.5,NA,NA,native
Elymus repens,UAS01,x,100,cover,1.75,NA,NA,native
Elymus repens,UAS03,SE,0.001,p/a,1,NA,NA,native
Elymus repens,UAS03,SE,0.01,p/a,1,NA,NA,native
Elymus repens,UAS03,SE,0.1,p/a,1,NA,NA,native
Elymus repens,UAS03,SE,1,p/a,1,NA,NA,native
Elymus repens,UAS03,SE,10,cover,1,NA,NA,native
Elymus repens,UAS03,x,100,cover,0.5,NA,NA,native
Elymus repens,UAS25,NW,10,cover,0.01,NA,NA,native
Elymus repens,UAS25,SE,0.01,p/a,1,NA,NA,native
Elymus repens,UAS25,SE,0.1,p/a,1,NA,NA,native
Elymus repens,UAS25,SE,1,p/a,1,NA,NA,native
Elymus repens,UAS25,SE,10,cover,0.3,NA,NA,native
Elymus repens,UAS25,x,100,cover,0.155,NA,NA,native
Ephedra distachya,UAS02,NW,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS02,NW,1,p/a,1,NA,NA,native
Ephedra distachya,UAS02,NW,10,cover,3,NA,NA,native
Ephedra distachya,UAS02,x,100,cover,1.5,NA,NA,native
Ephedra distachya,UAS05,NW,0.001,p/a,1,NA,NA,native
Ephedra distachya,UAS05,NW,0.01,p/a,1,NA,NA,native
Ephedra distachya,UAS05,NW,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS05,NW,1,p/a,1,NA,NA,native
Ephedra distachya,UAS05,NW,10,cover,1,NA,NA,native
Ephedra distachya,UAS05,SE,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS05,SE,1,p/a,1,NA,NA,native
Ephedra distachya,UAS05,SE,10,cover,15,NA,NA,native
Ephedra distachya,UAS05,x,100,cover,8,NA,NA,native
Ephedra distachya,UAS11,SW,0.01,p/a,1,NA,NA,native
Ephedra distachya,UAS11,SW,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS11,SW,1,p/a,1,NA,NA,native
Ephedra distachya,UAS11,SW,10,cover,0.5,NA,NA,native
Ephedra distachya,UAS11,x,100,cover,0.25,NA,NA,native
Ephedra distachya,UAS14,NW,1e-4,p/a,1,NA,NA,native
Ephedra distachya,UAS14,NW,0.001,p/a,1,NA,NA,native
Ephedra distachya,UAS14,NW,0.01,p/a,1,NA,NA,native
Ephedra distachya,UAS14,NW,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS14,NW,1,p/a,1,NA,NA,native
Ephedra distachya,UAS14,NW,10,cover,5,NA,NA,native
Ephedra distachya,UAS14,SE,0.01,p/a,1,NA,NA,native
Ephedra distachya,UAS14,SE,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS14,SE,1,p/a,1,NA,NA,native
Ephedra distachya,UAS14,SE,10,cover,15,NA,NA,native
Ephedra distachya,UAS14,x,100,cover,10,NA,NA,native
Ephedra distachya,UAS19,NW,0.001,p/a,1,NA,NA,native
Ephedra distachya,UAS19,NW,0.01,p/a,1,NA,NA,native
Ephedra distachya,UAS19,NW,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS19,NW,1,p/a,1,NA,NA,native
Ephedra distachya,UAS19,NW,10,cover,2,NA,NA,native
Ephedra distachya,UAS19,SE,0.001,p/a,1,NA,NA,native
Ephedra distachya,UAS19,SE,0.01,p/a,1,NA,NA,native
Ephedra distachya,UAS19,SE,0.1,p/a,1,NA,NA,native
Ephedra distachya,UAS19,SE,1,p/a,1,NA,NA,native
Ephedra distachya,UAS19,SE,10,cover,3,NA,NA,native
Ephedra distachya,UAS19,x,100,cover,2.5,NA,NA,native
Equisetum ramosissimum,UAS48,SE,1,p/a,1,NA,NA,native
Equisetum ramosissimum,UAS48,SE,10,cover,0.05,NA,NA,native
Equisetum ramosissimum,UAS48,x,100,cover,0.025,NA,NA,native
Erigeron canadensis,UAS16,NW,10,cover,0.01,invasive,neophyte,non_native
Erigeron canadensis,UAS16,x,100,cover,0.005,invasive,neophyte,non_native
Erigeron canadensis,UAS33,x,100,cover,0.1,invasive,neophyte,non_native
Erigeron canadensis,UAS36,NW,10,cover,0.01,invasive,neophyte,non_native
Erigeron canadensis,UAS36,x,100,cover,0.005,invasive,neophyte,non_native
Erigeron canadensis,UAS40,NW,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS40,NW,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS40,NW,10,cover,0.1,invasive,neophyte,non_native
Erigeron canadensis,UAS40,x,100,cover,0.05,invasive,neophyte,non_native
Erigeron canadensis,UAS41,NW,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS41,NW,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS41,NW,10,cover,0.5,invasive,neophyte,non_native
Erigeron canadensis,UAS41,SE,0.01,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS41,SE,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS41,SE,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS41,SE,10,cover,0.3,invasive,neophyte,non_native
Erigeron canadensis,UAS41,x,100,cover,0.4,invasive,neophyte,non_native
Erigeron canadensis,UAS44,x,100,cover,0.1,invasive,neophyte,non_native
Erigeron canadensis,UAS45,NW,10,cover,0.01,invasive,neophyte,non_native
Erigeron canadensis,UAS45,SE,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS45,SE,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS45,SE,10,cover,8,invasive,neophyte,non_native
Erigeron canadensis,UAS45,x,100,cover,4.005,invasive,neophyte,non_native
Erigeron canadensis,UAS46,SE,10,cover,0.02,invasive,neophyte,non_native
Erigeron canadensis,UAS46,x,100,cover,0.01,invasive,neophyte,non_native
Erigeron canadensis,UAS47,NW,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS47,NW,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS47,NW,10,cover,0.5,invasive,neophyte,non_native
Erigeron canadensis,UAS47,SE,0.01,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS47,SE,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS47,SE,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS47,SE,10,cover,2,invasive,neophyte,non_native
Erigeron canadensis,UAS47,x,100,cover,1.25,invasive,neophyte,non_native
Erigeron canadensis,UAS48,NW,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS48,NW,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS48,NW,10,cover,2,invasive,neophyte,non_native
Erigeron canadensis,UAS48,SE,0.1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS48,SE,1,p/a,1,invasive,neophyte,non_native
Erigeron canadensis,UAS48,SE,10,cover,1,invasive,neophyte,non_native
Erigeron canadensis,UAS48,x,100,cover,1.5,invasive,neophyte,non_native
Erodium ciconium,UAS12,NW,1,p/a,1,NA,NA,native
Erodium ciconium,UAS12,NW,10,cover,0.5,NA,NA,native
Erodium ciconium,UAS12,SE,0.1,p/a,1,NA,NA,native
Erodium ciconium,UAS12,SE,1,p/a,1,NA,NA,native
Erodium ciconium,UAS12,SE,10,cover,0.2,NA,NA,native
Erodium ciconium,UAS12,x,100,cover,0.35,NA,NA,native
Erodium ciconium,UAS13,x,100,cover,0.01,NA,NA,native
Erodium ciconium,UAS19,NW,10,cover,0.5,NA,NA,native
Erodium ciconium,UAS19,x,100,cover,0.25,NA,NA,native
Erodium ciconium,UAS30,x,100,cover,0.001,NA,NA,native
Erodium cicutarium,UAS01,x,100,cover,0.01,NA,NA,native
Erodium cicutarium,UAS02,NW,0.1,p/a,1,NA,NA,native
Erodium cicutarium,UAS02,NW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS02,NW,10,cover,0.1,NA,NA,native
Erodium cicutarium,UAS02,x,100,cover,0.05,NA,NA,native
Erodium cicutarium,UAS04,NW,10,cover,0.2,NA,NA,native
Erodium cicutarium,UAS04,SE,0.1,p/a,1,NA,NA,native
Erodium cicutarium,UAS04,SE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS04,SE,10,cover,1,NA,NA,native
Erodium cicutarium,UAS04,x,100,cover,0.6,NA,NA,native
Erodium cicutarium,UAS06,NW,0.1,p/a,1,NA,NA,native
Erodium cicutarium,UAS06,NW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS06,NW,10,cover,0.01,NA,NA,native
Erodium cicutarium,UAS06,SE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS06,SE,10,cover,0.01,NA,NA,native
Erodium cicutarium,UAS06,x,100,cover,0.01,NA,NA,native
Erodium cicutarium,UAS10,SE,10,cover,0.01,NA,NA,native
Erodium cicutarium,UAS10,x,100,cover,0.005,NA,NA,native
Erodium cicutarium,UAS12,NW,10,cover,0.01,NA,NA,native
Erodium cicutarium,UAS12,x,100,cover,0.005,NA,NA,native
Erodium cicutarium,UAS13,NW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS13,NW,10,cover,0.002,NA,NA,native
Erodium cicutarium,UAS13,SE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS13,SE,10,cover,0.3,NA,NA,native
Erodium cicutarium,UAS13,x,100,cover,0.151,NA,NA,native
Erodium cicutarium,UAS17,NW,0.01,p/a,1,NA,NA,native
Erodium cicutarium,UAS17,NW,0.1,p/a,1,NA,NA,native
Erodium cicutarium,UAS17,NW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS17,NW,10,cover,0.1,NA,NA,native
Erodium cicutarium,UAS17,SE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS17,SE,10,cover,0.01,NA,NA,native
Erodium cicutarium,UAS17,x,100,cover,0.055,NA,NA,native
Erodium cicutarium,UAS18,NE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS18,NE,10,cover,0.001,NA,NA,native
Erodium cicutarium,UAS18,SW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS18,SW,10,cover,0.1,NA,NA,native
Erodium cicutarium,UAS18,x,100,cover,0.0505,NA,NA,native
Erodium cicutarium,UAS19,x,100,cover,0.01,NA,NA,native
Erodium cicutarium,UAS21,NW,0.01,p/a,1,NA,NA,native
Erodium cicutarium,UAS21,NW,0.1,p/a,1,NA,NA,native
Erodium cicutarium,UAS21,NW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS21,NW,10,cover,1,NA,NA,native
Erodium cicutarium,UAS21,SE,0.1,p/a,1,NA,NA,native
Erodium cicutarium,UAS21,SE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS21,SE,10,cover,0.2,NA,NA,native
Erodium cicutarium,UAS21,x,100,cover,0.6,NA,NA,native
Erodium cicutarium,UAS25,SE,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS25,SE,10,cover,0.2,NA,NA,native
Erodium cicutarium,UAS25,x,100,cover,0.1,NA,NA,native
Erodium cicutarium,UAS28,x,100,cover,0.01,NA,NA,native
Erodium cicutarium,UAS30,NW,10,cover,0.1,NA,NA,native
Erodium cicutarium,UAS30,x,100,cover,0.05,NA,NA,native
Erodium cicutarium,UAS55,NW,1,p/a,1,NA,NA,native
Erodium cicutarium,UAS55,NW,10,cover,0.1,NA,NA,native
Erodium cicutarium,UAS55,x,100,cover,0.05,NA,NA,native
Eryngium campestre,UAS02,NW,10,cover,2,NA,NA,native
Eryngium campestre,UAS02,SE,0.1,p/a,1,NA,NA,native
Eryngium campestre,UAS02,SE,1,p/a,1,NA,NA,native
Eryngium campestre,UAS02,SE,10,cover,1,NA,NA,native
Eryngium campestre,UAS02,x,100,cover,1.5,NA,NA,native
Eryngium campestre,UAS05,NW,10,cover,0.2,NA,NA,native
Eryngium campestre,UAS05,SE,0.1,p/a,1,NA,NA,native
Eryngium campestre,UAS05,SE,1,p/a,1,NA,NA,native
Eryngium campestre,UAS05,SE,10,cover,1,NA,NA,native
Eryngium campestre,UAS05,x,100,cover,0.6,NA,NA,native
Eryngium campestre,UAS11,x,100,cover,0.2,NA,NA,native
Eryngium campestre,UAS12,x,100,cover,0.01,NA,NA,native
Eryngium campestre,UAS17,NW,1,p/a,1,NA,NA,native
Eryngium campestre,UAS17,NW,10,cover,0.5,NA,NA,native
Eryngium campestre,UAS17,SE,1,p/a,1,NA,NA,native
Eryngium campestre,UAS17,SE,10,cover,0.2,NA,NA,native
Eryngium campestre,UAS17,x,100,cover,0.35,NA,NA,native
Eryngium campestre,UAS18,SW,1,p/a,1,NA,NA,native
Eryngium campestre,UAS18,SW,10,cover,0.1,NA,NA,native
Eryngium campestre,UAS18,x,100,cover,0.05,NA,NA,native
Eryngium campestre,UAS25,x,100,cover,0.1,NA,NA,native
Eryngium campestre,UAS48,NW,10,cover,4,NA,NA,native
Eryngium campestre,UAS48,SE,0.001,p/a,1,NA,NA,native
Eryngium campestre,UAS48,SE,0.01,p/a,1,NA,NA,native
Eryngium campestre,UAS48,SE,0.1,p/a,1,NA,NA,native
Eryngium campestre,UAS48,SE,1,p/a,1,NA,NA,native
Eryngium campestre,UAS48,SE,10,cover,7,NA,NA,native
Eryngium campestre,UAS48,x,100,cover,5.5,NA,NA,native
Eryngium campestre,UAS51,NW,10,cover,0.7,NA,NA,native
Eryngium campestre,UAS51,x,100,cover,0.35,NA,NA,native
Eryngium maritimum,UAS27,SE,10,cover,0.7,NA,NA,native
Eryngium maritimum,UAS27,x,100,cover,0.35,NA,NA,native
Eryngium maritimum,UAS37,NW,10,cover,7,NA,NA,native
Eryngium maritimum,UAS37,SE,0.01,p/a,1,NA,NA,native
Eryngium maritimum,UAS37,SE,0.1,p/a,1,NA,NA,native
Eryngium maritimum,UAS37,SE,1,p/a,1,NA,NA,native
Eryngium maritimum,UAS37,SE,10,cover,3,NA,NA,native
Eryngium maritimum,UAS37,x,100,cover,5,NA,NA,native
Eryngium maritimum,UAS39,NW,1,p/a,1,NA,NA,native
Eryngium maritimum,UAS39,NW,10,cover,0.8,NA,NA,native
Eryngium maritimum,UAS39,SE,10,cover,0.5,NA,NA,native
Eryngium maritimum,UAS39,x,100,cover,0.65,NA,NA,native
Eryngium planum,UAS19,x,100,cover,0.01,NA,NA,native
Erysimum diffusum,UAS51,SE,10,cover,0.002,NA,NA,native
Erysimum diffusum,UAS51,x,100,cover,0.001,NA,NA,native
Erysimum repandum,UAS44,NW,1,p/a,1,naturalised,archaeophyte,non_native
Erysimum repandum,UAS44,NW,10,cover,0.8,naturalised,archaeophyte,non_native
Erysimum repandum,UAS44,SE,10,cover,0.1,naturalised,archaeophyte,non_native
Erysimum repandum,UAS44,x,100,cover,0.45,naturalised,archaeophyte,non_native
Euphorbia leptocaula,UAS04,NW,1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS04,NW,10,cover,0.1,NA,NA,native
Euphorbia leptocaula,UAS04,SE,0.1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS04,SE,1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS04,SE,10,cover,1,NA,NA,native
Euphorbia leptocaula,UAS04,x,100,cover,0.55,NA,NA,native
Euphorbia leptocaula,UAS05,NW,1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS05,NW,10,cover,1,NA,NA,native
Euphorbia leptocaula,UAS05,x,100,cover,0.5,NA,NA,native
Euphorbia leptocaula,UAS13,NW,1e-4,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,NW,0.001,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,NW,0.01,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,NW,0.1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,NW,1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,NW,10,cover,0.1,NA,NA,native
Euphorbia leptocaula,UAS13,SE,0.01,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,SE,0.1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,SE,1,p/a,1,NA,NA,native
Euphorbia leptocaula,UAS13,SE,10,cover,0.5,NA,NA,native
Euphorbia leptocaula,UAS13,x,100,cover,0.3,NA,NA,native
Euphorbia leptocaula,UAS19,NW,10,cover,0.1,NA,NA,native
