series,species,subplot,scale,response,value,Disturbance.Frequency,Disturbance.Severity
UAS46,euphorbia seguieriana,NW,1,p/a,1,1.34188,0.47346
UAS46,euphorbia seguieriana,NW,10,cover,0.5,1.34188,0.47346
UAS46,euphorbia seguieriana,SE,10,cover,0.01,1.34188,0.47346
UAS46,euphorbia seguieriana,x,100,cover,0.255,1.34188,0.47346
UAS47,euphorbia seguieriana,SE,10,cover,0.2,1.34188,0.47346
UAS47,euphorbia seguieriana,x,100,cover,0.1,1.34188,0.47346
UAS48,euphorbia seguieriana,NW,10,cover,0.25,1.34188,0.47346
UAS48,euphorbia seguieriana,SE,1,p/a,1,1.34188,0.47346
UAS48,euphorbia seguieriana,SE,10,cover,0.01,1.34188,0.47346
UAS48,euphorbia seguieriana,x,100,cover,0.13,1.34188,0.47346
UAS55,euphorbia seguieriana,x,100,cover,0.01,1.34188,0.47346
UAS03,falcaria vulgaris,SE,10,cover,0.001,1.47414,0.58061
UAS03,falcaria vulgaris,x,100,cover,5e-4,1.47414,0.58061
UAS04,falcaria vulgaris,NW,0.01,p/a,1,1.47414,0.58061
UAS04,falcaria vulgaris,NW,0.1,p/a,1,1.47414,0.58061
UAS04,falcaria vulgaris,NW,1,p/a,1,1.47414,0.58061
UAS04,falcaria vulgaris,NW,10,cover,0.5,1.47414,0.58061
UAS04,falcaria vulgaris,SE,10,cover,0.01,1.47414,0.58061
UAS04,falcaria vulgaris,x,100,cover,0.255,1.47414,0.58061
UAS09,falcaria vulgaris,SE,10,cover,0.5,1.47414,0.58061
UAS09,falcaria vulgaris,x,100,cover,0.25,1.47414,0.58061
UAS12,falcaria vulgaris,NW,10,cover,0.1,1.47414,0.58061
UAS12,falcaria vulgaris,SE,0.1,p/a,1,1.47414,0.58061
UAS12,falcaria vulgaris,SE,1,p/a,1,1.47414,0.58061
UAS12,falcaria vulgaris,SE,10,cover,0.3,1.47414,0.58061
UAS12,falcaria vulgaris,x,100,cover,0.2,1.47414,0.58061
UAS13,falcaria vulgaris,x,100,cover,0.01,1.47414,0.58061
UAS14,falcaria vulgaris,SE,10,cover,0.05,1.47414,0.58061
UAS14,falcaria vulgaris,x,100,cover,0.025,1.47414,0.58061
UAS18,falcaria vulgaris,x,100,cover,0.5,1.47414,0.58061
UAS19,falcaria vulgaris,NW,1,p/a,1,1.47414,0.58061
UAS19,falcaria vulgaris,NW,10,cover,0.1,1.47414,0.58061
UAS19,falcaria vulgaris,SE,0.01,p/a,1,1.47414,0.58061
UAS19,falcaria vulgaris,SE,0.1,p/a,1,1.47414,0.58061
UAS19,falcaria vulgaris,SE,1,p/a,1,1.47414,0.58061
UAS19,falcaria vulgaris,SE,10,cover,3,1.47414,0.58061
UAS19,falcaria vulgaris,x,100,cover,1.55,1.47414,0.58061
UAS24,falcaria vulgaris,x,100,cover,0.001,1.47414,0.58061
UAS31,falcaria vulgaris,SE,10,cover,0.15,1.47414,0.58061
UAS31,falcaria vulgaris,x,100,cover,0.075,1.47414,0.58061
UAS55,falcaria vulgaris,SE,1,p/a,1,1.47414,0.58061
UAS55,falcaria vulgaris,SE,10,cover,0.3,1.47414,0.58061
UAS55,falcaria vulgaris,x,100,cover,0.15,1.47414,0.58061
UAS44,fallopia dumetorum,SE,10,cover,0.01,0.22353,0.66202
UAS44,fallopia dumetorum,x,100,cover,0.005,0.22353,0.66202
UAS04,ferula caspica,x,100,cover,0.1,2.39616,0.50317
UAS06,ferula caspica,NW,10,cover,4,2.39616,0.50317
UAS06,ferula caspica,SE,0.1,p/a,1,2.39616,0.50317
UAS06,ferula caspica,SE,1,p/a,1,2.39616,0.50317
UAS06,ferula caspica,SE,10,cover,1,2.39616,0.50317
UAS06,ferula caspica,x,100,cover,2.5,2.39616,0.50317
UAS10,ferula caspica,SE,10,cover,1,2.39616,0.50317
UAS10,ferula caspica,x,100,cover,0.5,2.39616,0.50317
UAS55,ferula caspica,x,100,cover,0.01,2.39616,0.50317
UAS33,festuca beckeri,NW,1,p/a,1,1.29123,0.38361
UAS33,festuca beckeri,NW,10,cover,2,1.29123,0.38361
UAS33,festuca beckeri,SE,10,cover,0.5,1.29123,0.38361
UAS33,festuca beckeri,x,100,cover,1.25,1.29123,0.38361
UAS35,festuca beckeri,NW,10,cover,4,1.29123,0.38361
UAS35,festuca beckeri,SE,10,cover,4,1.29123,0.38361
UAS35,festuca beckeri,x,100,cover,4,1.29123,0.38361
UAS40,festuca beckeri,NW,1,p/a,1,1.29123,0.38361
UAS40,festuca beckeri,NW,10,cover,1.5,1.29123,0.38361
UAS40,festuca beckeri,x,100,cover,0.75,1.29123,0.38361
UAS43,festuca beckeri,NW,0.1,p/a,1,1.29123,0.38361
UAS43,festuca beckeri,NW,1,p/a,1,1.29123,0.38361
UAS43,festuca beckeri,NW,10,cover,1,1.29123,0.38361
UAS43,festuca beckeri,SE,10,cover,0.7,1.29123,0.38361
UAS43,festuca beckeri,x,100,cover,0.85,1.29123,0.38361
UAS46,festuca beckeri,NW,1,p/a,1,1.29123,0.38361
UAS46,festuca beckeri,NW,10,cover,0.7,1.29123,0.38361
UAS46,festuca beckeri,SE,1,p/a,1,1.29123,0.38361
UAS46,festuca beckeri,SE,10,cover,1,1.29123,0.38361
UAS46,festuca beckeri,x,100,cover,0.85,1.29123,0.38361
UAS32,festuca arundinacea,SE,10,cover,0.5,1.326,0.51429
UAS32,festuca arundinacea,x,100,cover,0.25,1.326,0.51429
UAS36,festuca arundinacea,x,100,cover,0.1,1.326,0.51429
UAS41,festuca arundinacea,NW,1e-4,p/a,1,1.326,0.51429
UAS41,festuca arundinacea,NW,0.001,p/a,1,1.326,0.51429
UAS41,festuca arundinacea,NW,0.01,p/a,1,1.326,0.51429
UAS41,festuca arundinacea,NW,0.1,p/a,1,1.326,0.51429
UAS41,festuca arundinacea,NW,1,p/a,1,1.326,0.51429
UAS41,festuca arundinacea,NW,10,cover,15,1.326,0.51429
UAS41,festuca arundinacea,SE,10,cover,3,1.326,0.51429
UAS41,festuca arundinacea,x,100,cover,9,1.326,0.51429
UAS02,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS02,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS02,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS02,festuca valesiaca,NW,10,cover,10,1.02512,0.51027
UAS02,festuca valesiaca,SE,10,cover,3,1.02512,0.51027
UAS02,festuca valesiaca,x,100,cover,6.5,1.02512,0.51027
UAS04,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,NW,10,cover,30,1.02512,0.51027
UAS04,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS04,festuca valesiaca,SE,10,cover,25,1.02512,0.51027
UAS04,festuca valesiaca,x,100,cover,27.5,1.02512,0.51027
UAS05,festuca valesiaca,NW,10,cover,0.5,1.02512,0.51027
UAS05,festuca valesiaca,SE,10,cover,0.5,1.02512,0.51027
UAS05,festuca valesiaca,x,100,cover,0.5,1.02512,0.51027
UAS06,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS06,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS06,festuca valesiaca,NW,10,cover,15,1.02512,0.51027
UAS06,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS06,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS06,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS06,festuca valesiaca,SE,10,cover,23,1.02512,0.51027
UAS06,festuca valesiaca,x,100,cover,19,1.02512,0.51027
UAS09,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,NW,10,cover,53,1.02512,0.51027
UAS09,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS09,festuca valesiaca,SE,10,cover,22,1.02512,0.51027
UAS09,festuca valesiaca,x,100,cover,37.5,1.02512,0.51027
UAS10,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,NW,10,cover,26,1.02512,0.51027
UAS10,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS10,festuca valesiaca,SE,10,cover,20,1.02512,0.51027
UAS10,festuca valesiaca,x,100,cover,23,1.02512,0.51027
UAS12,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS12,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS12,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS12,festuca valesiaca,NW,10,cover,40,1.02512,0.51027
UAS12,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS12,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS12,festuca valesiaca,SE,10,cover,27,1.02512,0.51027
UAS12,festuca valesiaca,x,100,cover,33.5,1.02512,0.51027
UAS13,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,NW,10,cover,22,1.02512,0.51027
UAS13,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS13,festuca valesiaca,SE,10,cover,25,1.02512,0.51027
UAS13,festuca valesiaca,x,100,cover,23.5,1.02512,0.51027
UAS14,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS14,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS14,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS14,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS14,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS14,festuca valesiaca,NW,10,cover,25,1.02512,0.51027
UAS14,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS14,festuca valesiaca,SE,10,cover,24,1.02512,0.51027
UAS14,festuca valesiaca,x,100,cover,24.5,1.02512,0.51027
UAS17,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS17,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS17,festuca valesiaca,NW,10,cover,1,1.02512,0.51027
UAS17,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS17,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS17,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS17,festuca valesiaca,SE,10,cover,5,1.02512,0.51027
UAS17,festuca valesiaca,x,100,cover,3,1.02512,0.51027
UAS18,festuca valesiaca,NE,0.001,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,NE,0.01,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,NE,0.1,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,NE,1,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,NE,10,cover,17,1.02512,0.51027
UAS18,festuca valesiaca,SW,1e-4,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,SW,0.001,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,SW,0.01,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,SW,0.1,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,SW,1,p/a,1,1.02512,0.51027
UAS18,festuca valesiaca,SW,10,cover,20,1.02512,0.51027
UAS18,festuca valesiaca,x,100,cover,18.5,1.02512,0.51027
UAS19,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,NW,10,cover,30,1.02512,0.51027
UAS19,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS19,festuca valesiaca,SE,10,cover,45,1.02512,0.51027
UAS19,festuca valesiaca,x,100,cover,37.5,1.02512,0.51027
UAS20,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,NW,10,cover,20,1.02512,0.51027
UAS20,festuca valesiaca,SE,1e-4,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS20,festuca valesiaca,SE,10,cover,10,1.02512,0.51027
UAS20,festuca valesiaca,x,100,cover,15,1.02512,0.51027
UAS21,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,NW,10,cover,18,1.02512,0.51027
UAS21,festuca valesiaca,SE,1e-4,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS21,festuca valesiaca,SE,10,cover,8,1.02512,0.51027
UAS21,festuca valesiaca,x,100,cover,13,1.02512,0.51027
UAS24,festuca valesiaca,x,100,cover,0.01,1.02512,0.51027
UAS25,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,NW,10,cover,60,1.02512,0.51027
UAS25,festuca valesiaca,SE,1e-4,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS25,festuca valesiaca,SE,10,cover,15,1.02512,0.51027
UAS25,festuca valesiaca,x,100,cover,37.5,1.02512,0.51027
UAS30,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,NW,10,cover,50,1.02512,0.51027
UAS30,festuca valesiaca,SE,1e-4,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS30,festuca valesiaca,SE,10,cover,35,1.02512,0.51027
UAS30,festuca valesiaca,x,100,cover,42.5,1.02512,0.51027
UAS31,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,NW,10,cover,22,1.02512,0.51027
UAS31,festuca valesiaca,SE,1e-4,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS31,festuca valesiaca,SE,10,cover,38,1.02512,0.51027
UAS31,festuca valesiaca,x,100,cover,30,1.02512,0.51027
UAS41,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,NW,10,cover,15,1.02512,0.51027
UAS41,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS41,festuca valesiaca,SE,10,cover,20,1.02512,0.51027
UAS41,festuca valesiaca,x,100,cover,17.5,1.02512,0.51027
UAS44,festuca valesiaca,NW,1e-4,p/a,1,1.02512,0.51027
UAS44,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS44,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS44,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS44,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS44,festuca valesiaca,NW,10,cover,2,1.02512,0.51027
UAS44,festuca valesiaca,x,100,cover,1,1.02512,0.51027
UAS45,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS45,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS45,festuca valesiaca,NW,10,cover,10,1.02512,0.51027
UAS45,festuca valesiaca,x,100,cover,5,1.02512,0.51027
UAS48,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS48,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS48,festuca valesiaca,NW,10,cover,20,1.02512,0.51027
UAS48,festuca valesiaca,x,100,cover,10,1.02512,0.51027
UAS51,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS51,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS51,festuca valesiaca,NW,10,cover,20,1.02512,0.51027
UAS51,festuca valesiaca,SE,10,cover,2,1.02512,0.51027
UAS51,festuca valesiaca,x,100,cover,11,1.02512,0.51027
UAS55,festuca valesiaca,NW,0.001,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,NW,0.01,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,NW,0.1,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,NW,1,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,NW,10,cover,7,1.02512,0.51027
UAS55,festuca valesiaca,SE,1e-4,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,SE,0.001,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,SE,0.01,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,SE,0.1,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,SE,1,p/a,1,1.02512,0.51027
UAS55,festuca valesiaca,SE,10,cover,40,1.02512,0.51027
UAS55,festuca valesiaca,x,100,cover,23.5,1.02512,0.51027
UAS21,ficaria verna,NW,10,cover,0.001,0.17419,0.66551
UAS21,ficaria verna,SE,10,cover,0.01,0.17419,0.66551
UAS21,ficaria verna,x,100,cover,0.0055,0.17419,0.66551
UAS01,filago arvensis,SE,10,cover,0.01,1.32125,0.5729
UAS01,filago arvensis,x,100,cover,0.005,1.32125,0.5729
UAS02,filago arvensis,NW,1,p/a,1,1.32125,0.5729
UAS02,filago arvensis,NW,10,cover,0.001,1.32125,0.5729
UAS02,filago arvensis,x,100,cover,5e-4,1.32125,0.5729
UAS13,filago arvensis,NW,1,p/a,1,1.32125,0.5729
UAS13,filago arvensis,NW,10,cover,0.001,1.32125,0.5729
UAS13,filago arvensis,x,100,cover,5e-4,1.32125,0.5729
UAS15,filago arvensis,N,10,cover,0.001,1.32125,0.5729
UAS15,filago arvensis,x,100,cover,5e-4,1.32125,0.5729
UAS17,filago arvensis,SE,0.01,p/a,1,1.32125,0.5729
UAS17,filago arvensis,SE,0.1,p/a,1,1.32125,0.5729
UAS17,filago arvensis,SE,1,p/a,1,1.32125,0.5729
UAS17,filago arvensis,SE,10,cover,0.1,1.32125,0.5729
UAS17,filago arvensis,x,100,cover,0.05,1.32125,0.5729
UAS40,filago arvensis,NW,1,p/a,1,1.32125,0.5729
UAS40,filago arvensis,NW,10,cover,0.1,1.32125,0.5729
UAS40,filago arvensis,x,100,cover,0.05,1.32125,0.5729
UAS45,filago arvensis,NW,10,cover,0.1,1.32125,0.5729
UAS45,filago arvensis,x,100,cover,0.05,1.32125,0.5729
UAS46,filago arvensis,NW,10,cover,0.001,1.32125,0.5729
UAS46,filago arvensis,x,100,cover,5e-4,1.32125,0.5729
UAS48,filago arvensis,NW,10,cover,0.01,1.32125,0.5729
UAS48,filago arvensis,x,100,cover,0.005,1.32125,0.5729
UAS15,frankenia hirsuta,S,10,cover,0.001,0.79268,0.31226
UAS15,frankenia hirsuta,x,100,cover,5e-4,0.79268,0.31226
UAS23,frankenia hirsuta,x,100,cover,0.1,0.79268,0.31226
UAS29,frankenia hirsuta,NW,0.1,p/a,1,0.79268,0.31226
UAS29,frankenia hirsuta,NW,1,p/a,1,0.79268,0.31226
UAS29,frankenia hirsuta,NW,10,cover,0.3,0.79268,0.31226
UAS29,frankenia hirsuta,SE,10,cover,0.01,0.79268,0.31226
UAS29,frankenia hirsuta,x,100,cover,0.155,0.79268,0.31226
UAS14,gagea bulbifera,SE,10,cover,0.001,2.37972,0.47297
UAS14,gagea bulbifera,x,100,cover,5e-4,2.37972,0.47297
UAS19,galatella sedifolia,SE,10,cover,0.1,0.2865,0.62359
UAS19,galatella sedifolia,x,100,cover,0.05,0.2865,0.62359
UAS04,galatella villosa,NW,0.01,p/a,1,1.94731,0.48816
UAS04,galatella villosa,NW,0.1,p/a,1,1.94731,0.48816
UAS04,galatella villosa,NW,1,p/a,1,1.94731,0.48816
UAS04,galatella villosa,NW,10,cover,2,1.94731,0.48816
UAS04,galatella villosa,SE,10,cover,5,1.94731,0.48816
UAS04,galatella villosa,x,100,cover,3.5,1.94731,0.48816
UAS05,galatella villosa,NW,0.1,p/a,1,1.94731,0.48816
UAS05,galatella villosa,NW,1,p/a,1,1.94731,0.48816
UAS05,galatella villosa,NW,10,cover,2,1.94731,0.48816
UAS05,galatella villosa,SE,1,p/a,1,1.94731,0.48816
UAS05,galatella villosa,SE,10,cover,0.2,1.94731,0.48816
UAS05,galatella villosa,x,100,cover,1.1,1.94731,0.48816
UAS06,galatella villosa,NW,1,p/a,1,1.94731,0.48816
UAS06,galatella villosa,NW,10,cover,15,1.94731,0.48816
UAS06,galatella villosa,SE,0.001,p/a,1,1.94731,0.48816
UAS06,galatella villosa,SE,0.01,p/a,1,1.94731,0.48816
UAS06,galatella villosa,SE,0.1,p/a,1,1.94731,0.48816
UAS06,galatella villosa,SE,1,p/a,1,1.94731,0.48816
UAS06,galatella villosa,SE,10,cover,20,1.94731,0.48816
UAS06,galatella villosa,x,100,cover,17.5,1.94731,0.48816
UAS14,galatella villosa,NW,0.01,p/a,1,1.94731,0.48816
UAS14,galatella villosa,NW,0.1,p/a,1,1.94731,0.48816
UAS14,galatella villosa,NW,1,p/a,1,1.94731,0.48816
UAS14,galatella villosa,NW,10,cover,1,1.94731,0.48816
UAS14,galatella villosa,SE,10,cover,3,1.94731,0.48816
UAS14,galatella villosa,x,100,cover,2,1.94731,0.48816
UAS19,galatella villosa,SE,10,cover,0.1,1.94731,0.48816
UAS19,galatella villosa,x,100,cover,0.05,1.94731,0.48816
UAS51,galatella villosa,x,100,cover,0.01,1.94731,0.48816
UAS02,galium humifusum,SE,10,cover,0.2,1.34548,0.57762
UAS02,galium humifusum,x,100,cover,0.1,1.34548,0.57762
UAS05,galium humifusum,SE,10,cover,0.001,1.34548,0.57762
UAS05,galium humifusum,x,100,cover,5e-4,1.34548,0.57762
UAS51,galium humifusum,NW,10,cover,0.1,1.34548,0.57762
UAS51,galium humifusum,x,100,cover,0.05,1.34548,0.57762
UAS04,galium spurium,NW,0.01,p/a,1,1.27791,0.83293
UAS04,galium spurium,NW,0.1,p/a,1,1.27791,0.83293
UAS04,galium spurium,NW,1,p/a,1,1.27791,0.83293
UAS04,galium spurium,NW,10,cover,0.5,1.27791,0.83293
UAS04,galium spurium,SE,0.01,p/a,1,1.27791,0.83293
UAS04,galium spurium,SE,0.1,p/a,1,1.27791,0.83293
UAS04,galium spurium,SE,1,p/a,1,1.27791,0.83293
UAS04,galium spurium,SE,10,cover,0.01,1.27791,0.83293
UAS04,galium spurium,x,100,cover,0.255,1.27791,0.83293
UAS06,galium spurium,NW,10,cover,0.01,1.27791,0.83293
UAS06,galium spurium,x,100,cover,0.005,1.27791,0.83293
UAS12,galium spurium,x,100,cover,0.5,1.27791,0.83293
UAS13,galium spurium,SE,10,cover,0.25,1.27791,0.83293
UAS13,galium spurium,x,100,cover,0.125,1.27791,0.83293
UAS16,galium spurium,NW,1,p/a,1,1.27791,0.83293
UAS16,galium spurium,NW,10,cover,0.1,1.27791,0.83293
UAS16,galium spurium,x,100,cover,0.05,1.27791,0.83293
UAS19,galium spurium,NW,0.01,p/a,1,1.27791,0.83293
UAS19,galium spurium,NW,0.1,p/a,1,1.27791,0.83293
UAS19,galium spurium,NW,1,p/a,1,1.27791,0.83293
UAS19,galium spurium,NW,10,cover,0.5,1.27791,0.83293
UAS19,galium spurium,SE,0.01,p/a,1,1.27791,0.83293
